km_driven,days_since_last_service,vehicle_type,service_type,next_service_due_days
25519,73,car,wash,18
28499,94,bike,repair,67
23439,142,car,wash,56
21266,35,bike,full_service,58
12413,141,car,wash,54
15995,111,bike,wash,58
24559,130,bike,wash,77
13583,112,car,repair,88
24513,109,bike,full_service,39
6021,113,bike,repair,34
22119,66,bike,full_service,59
19771,125,bike,repair,5
7582,85,car,wash,19
14455,18,bike,full_service,29
26517,68,car,wash,24
14117,9,car,full_service,75
23250,140,car,full_service,20
19950,127,car,repair,56
18359,98,bike,repair,89
24596,31,bike,wash,69
26530,111,car,wash,88
2262,23,bike,full_service,87
22431,34,bike,full_service,74
26519,82,car,repair,5
27778,69,car,repair,20
8382,108,car,repair,31
23615,98,bike,repair,22
4327,32,car,repair,81
23014,55,car,full_service,48
29850,146,bike,full_service,54
19643,11,bike,wash,78
11020,10,bike,full_service,18
18641,69,bike,repair,56
17848,139,bike,full_service,79
15062,40,bike,full_service,54
20678,105,bike,full_service,21
7774,2,bike,wash,7
16160,2,car,wash,66
24815,83,bike,full_service,25
2230,106,car,full_service,37
28230,133,bike,repair,5
10076,19,bike,wash,74
4805,138,car,repair,60
23803,95,bike,repair,8
15715,123,car,full_service,26
6750,20,bike,full_service,81
16627,113,car,full_service,62
14232,12,car,repair,48
21240,85,bike,repair,61
4135,34,car,repair,44
7953,46,car,full_service,60
26500,148,bike,full_service,67
23418,145,bike,full_service,43
21973,124,car,repair,11
2546,109,bike,repair,18
16457,36,car,wash,22
23449,20,car,full_service,59
18478,13,car,repair,60
3411,90,bike,wash,61
20001,59,bike,repair,62
15113,123,car,repair,29
26338,22,car,full_service,74
27899,110,car,wash,84
5145,123,bike,repair,7
3775,29,car,wash,25
14193,114,bike,wash,36
13851,89,car,full_service,6
14070,37,car,wash,24
24012,82,car,full_service,79
20539,26,car,full_service,22
4970,103,bike,full_service,58
25356,115,bike,wash,79
27616,14,bike,repair,40
15119,2,bike,full_service,80
26159,9,bike,repair,65
22799,119,car,wash,64
5331,144,bike,repair,40
11295,127,bike,repair,48
2942,10,bike,full_service,72
23410,132,bike,full_service,70
25685,68,car,full_service,48
17575,63,car,wash,81
26479,13,car,repair,33
14404,49,bike,wash,52
1861,71,car,wash,40
24095,68,car,wash,12
10275,134,bike,wash,9
18033,126,bike,full_service,82
5134,15,bike,repair,51
12803,77,car,full_service,47
16408,100,bike,full_service,14
24971,55,car,wash,14
26212,104,car,full_service,10
18420,131,car,repair,20
17351,47,car,wash,64
5131,16,car,full_service,30
19532,110,bike,wash,25
13057,69,car,repair,62
12349,79,car,wash,45
29163,92,car,full_service,34
12486,37,car,full_service,9
6457,100,car,repair,14
7079,61,bike,repair,15
13453,120,car,wash,67
19814,47,car,full_service,11
19263,9,car,repair,63
13158,35,car,repair,16
16735,3,bike,full_service,68
16830,43,car,repair,45
16125,55,car,repair,64
12905,41,car,full_service,76
29702,113,car,repair,32
24926,140,bike,full_service,84
13298,20,bike,full_service,67
3011,78,bike,wash,7
4373,68,car,full_service,36
11335,69,bike,repair,25
24741,66,bike,wash,59
11692,47,bike,wash,22
15527,35,bike,repair,57
13773,148,bike,wash,79
2289,26,car,repair,65
2447,71,bike,wash,54
20583,100,bike,repair,12
23765,95,bike,full_service,16
27519,127,car,full_service,55
24906,25,car,wash,70
23443,65,bike,wash,45
20567,139,car,full_service,26
15139,21,car,repair,13
14757,16,bike,wash,82
6462,6,car,full_service,83
20600,106,bike,wash,15
20520,67,bike,full_service,17
20702,127,bike,full_service,60
20166,36,car,full_service,32
26566,37,bike,repair,68
8657,95,bike,wash,68
5920,138,car,repair,74
11345,0,bike,repair,59
23708,41,car,full_service,41
23711,62,car,repair,37
9417,80,bike,wash,29
18160,7,car,wash,27
28413,26,bike,full_service,64
6208,51,car,full_service,60
1687,145,car,wash,67
17913,90,car,wash,12
29018,85,car,full_service,21
22451,15,bike,repair,61
14223,65,bike,wash,79
9080,4,car,full_service,66
22902,81,bike,full_service,15
19537,130,bike,wash,71
10486,117,bike,full_service,44
7094,80,bike,wash,44
24358,69,bike,full_service,60
27102,114,bike,full_service,57
22158,6,bike,repair,89
8692,49,car,full_service,32
12088,141,bike,wash,46
4103,110,car,wash,50
3440,46,car,repair,22
21519,111,car,wash,27
29378,42,bike,full_service,30
8124,90,bike,repair,33
22585,28,car,wash,56
18228,127,car,full_service,79
15031,132,bike,repair,50
15536,95,bike,full_service,5
1446,116,bike,wash,67
4915,69,car,wash,20
16787,129,car,wash,29
20493,69,bike,wash,66
18618,109,bike,repair,86
7587,131,car,wash,84
1226,55,bike,repair,87
21527,88,bike,repair,20
24569,136,car,full_service,73
12151,130,car,wash,74
6558,99,car,full_service,38
27406,128,car,full_service,84
12971,56,bike,full_service,57
1186,143,car,full_service,27
15680,50,bike,full_service,47
15559,111,bike,wash,48
12069,103,bike,full_service,36
3535,126,car,repair,27
2932,54,car,repair,24
28500,0,bike,wash,23
26424,89,bike,repair,76
3032,52,car,full_service,33
2252,72,bike,repair,22
6509,107,bike,full_service,73
6074,149,bike,wash,16
14900,7,bike,repair,14
15523,41,bike,repair,41
2881,24,bike,repair,85
1269,37,bike,wash,59
2630,84,bike,wash,8
21789,23,car,repair,67
28779,59,car,wash,16
23523,110,bike,full_service,22
18958,65,bike,wash,12
14383,141,car,repair,36
17152,52,car,full_service,88
12084,105,car,repair,53
2695,95,bike,repair,67
20642,38,car,repair,81
15821,41,car,wash,63
4262,110,bike,repair,71
2445,103,car,full_service,43
23647,76,bike,full_service,54
25795,7,car,full_service,89
17436,25,car,repair,75
10949,139,car,full_service,30
22954,42,car,full_service,27
24963,109,car,full_service,67
19050,99,bike,full_service,70
7901,62,bike,wash,43
20169,48,car,repair,70
1719,114,bike,repair,50
9597,136,car,full_service,19
7855,64,car,repair,20
19678,70,car,full_service,76
9263,6,car,full_service,20
15520,79,car,full_service,89
27629,66,bike,repair,43
26805,137,bike,wash,15
27143,100,bike,repair,40
12874,94,bike,repair,22
28529,86,car,wash,27
21866,90,bike,repair,81
15079,102,car,wash,53
18082,125,car,full_service,46
8243,112,bike,wash,48
10018,3,bike,full_service,5
23302,87,car,wash,11
17732,2,car,full_service,52
22758,90,car,repair,89
13100,2,bike,wash,20
25253,80,car,repair,52
17691,137,car,full_service,82
20800,93,car,wash,47
27910,125,car,wash,55
5820,112,bike,wash,70
12001,148,bike,repair,35
14907,99,car,full_service,43
20942,52,bike,repair,13
21862,86,car,wash,45
12669,88,bike,full_service,67
23915,53,bike,full_service,18
22004,19,bike,repair,62
16916,112,bike,repair,78
11878,48,car,wash,88
3985,134,car,wash,68
9112,28,car,wash,32
9467,47,bike,wash,8
19931,12,bike,full_service,38
28340,2,car,wash,8
1336,1,bike,wash,74
11165,15,bike,wash,62
20363,93,car,repair,8
13768,101,bike,repair,54
4968,133,car,repair,9
1910,44,bike,wash,79
19380,70,car,full_service,49
16632,132,bike,wash,39
17279,55,bike,repair,87
4129,126,bike,repair,79
6447,31,bike,wash,79
7129,48,bike,full_service,31
6850,12,car,full_service,6
21588,24,bike,full_service,58
8446,59,car,repair,76
12949,58,car,repair,88
9519,57,car,full_service,83
27375,19,bike,wash,52
1314,132,car,full_service,81
12737,56,bike,wash,53
2134,53,bike,repair,82
11938,111,bike,repair,5
22260,85,car,repair,37
25486,36,bike,full_service,39
16588,83,bike,full_service,58
27096,47,bike,repair,60
9347,117,car,repair,19
6592,47,car,repair,73
19108,111,car,full_service,8
20727,109,car,full_service,88
18270,5,bike,repair,68
28649,77,car,full_service,26
11997,22,bike,full_service,28
1721,125,car,full_service,51
25062,83,bike,full_service,79
10104,12,car,repair,10
20741,46,car,repair,31
1870,43,car,full_service,14
29684,104,bike,repair,43
7751,13,bike,repair,78
17881,120,car,repair,41
2756,35,car,wash,58
2117,7,car,repair,55
12601,149,car,repair,64
3828,15,car,full_service,76
15996,90,car,full_service,55
19031,119,bike,wash,66
14878,59,bike,wash,53
7992,9,bike,repair,55
28559,30,bike,repair,32
14778,20,bike,full_service,40
7771,80,bike,repair,29
17526,32,car,repair,40
20145,30,car,repair,81
4435,148,car,repair,64
7622,35,car,repair,11
13852,131,car,repair,69
15806,67,bike,repair,77
11623,89,bike,repair,40
24453,131,bike,full_service,77
21896,8,bike,wash,34
2848,29,bike,repair,51
3696,114,car,full_service,33
2717,44,bike,repair,9
20456,3,bike,repair,69
10259,68,bike,wash,73
3786,22,car,full_service,67
15154,15,car,repair,60
14409,21,car,wash,21
4791,71,car,wash,55
26864,47,car,repair,41
4871,106,car,repair,13
2806,132,bike,full_service,42
18888,6,bike,full_service,57
20692,50,bike,repair,17
24501,64,car,repair,57
14304,8,car,wash,79
22432,81,car,full_service,53
28527,44,car,repair,74
25647,121,bike,repair,39
19074,9,car,full_service,20
16549,72,car,repair,17
26920,47,car,wash,15
4303,86,car,wash,6
20497,110,car,repair,23
17061,15,bike,full_service,49
26458,52,car,wash,50
29810,39,car,full_service,51
28238,99,bike,full_service,53
25234,19,car,full_service,83
16198,68,car,wash,46
23800,44,bike,wash,37
18888,5,bike,repair,45
11655,38,bike,full_service,73
28129,101,bike,wash,23
9924,129,bike,wash,43
10940,106,bike,repair,11
4924,38,bike,wash,43
25999,117,bike,wash,38
29054,148,bike,wash,48
10783,81,bike,repair,73
5485,53,car,repair,72
13629,109,bike,full_service,67
14233,11,bike,wash,75
13901,109,bike,repair,52
25484,37,bike,repair,7
26068,142,bike,repair,89
1191,6,car,full_service,38
26074,77,car,full_service,13
5917,64,car,full_service,65
6831,101,bike,full_service,24
26832,100,bike,full_service,44
11160,43,car,wash,16
21706,30,bike,wash,32
14682,76,bike,repair,52
27762,47,car,full_service,78
24383,81,bike,full_service,79
26392,126,bike,repair,11
28796,83,bike,wash,86
24666,9,bike,full_service,87
27049,28,bike,full_service,18
26662,47,bike,full_service,85
13391,115,bike,wash,23
2874,12,car,wash,58
10062,46,car,full_service,64
5763,102,bike,full_service,71
11234,90,bike,repair,38
25848,52,car,repair,45
10221,91,car,wash,35
12410,76,car,repair,43
15519,43,car,full_service,82
29645,1,car,wash,56
2051,100,car,repair,51
13225,56,car,wash,24
10765,56,bike,full_service,56
12382,33,car,repair,75
13580,57,car,repair,66
24922,34,car,repair,9
24795,74,bike,full_service,61
12989,32,bike,wash,8
28865,114,bike,repair,15
23704,74,car,wash,23
12939,72,car,wash,88
19489,77,car,wash,31
1307,8,bike,full_service,33
25121,47,bike,full_service,22
4359,66,bike,repair,41
4176,118,bike,repair,65
2251,132,bike,wash,51
6366,118,bike,wash,24
28323,85,car,wash,74
18901,105,bike,full_service,53
7226,75,bike,full_service,19
22689,39,bike,repair,22
26954,18,bike,wash,42
23253,46,car,wash,88
25423,64,car,full_service,26
15330,145,bike,repair,80
5891,29,car,wash,64
5992,125,car,wash,70
2961,65,car,repair,30
13497,4,car,wash,68
20247,92,car,full_service,62
11848,96,car,repair,7
28070,93,car,wash,34
23987,105,bike,wash,23
14255,132,car,full_service,14
5567,84,bike,full_service,50
17079,57,car,full_service,23
7513,78,car,wash,62
16235,7,car,wash,89
21389,11,bike,wash,10
12755,148,car,repair,55
26498,93,bike,full_service,18
29808,90,car,repair,62
12151,32,car,full_service,12
17567,99,bike,wash,6
25139,14,car,repair,22
4358,113,car,repair,61
23999,128,car,full_service,39
10590,10,bike,repair,70
24181,54,car,repair,60
11988,1,car,wash,86
26112,64,car,full_service,47
8678,15,bike,repair,77
6698,149,car,wash,76
2273,105,bike,repair,12
28543,145,car,wash,9
24037,29,car,repair,17
12241,9,bike,wash,11
18480,61,bike,wash,25
10497,84,bike,full_service,41
10107,133,bike,wash,49
12273,66,bike,repair,56
9002,40,car,wash,52
5247,17,car,wash,66
10220,57,bike,repair,82
22698,59,car,repair,55
27553,87,car,wash,8
20738,26,bike,repair,60
11703,67,bike,wash,79
16472,21,bike,wash,38
17654,39,car,wash,49
18570,108,bike,repair,20
13392,73,car,full_service,13
12956,65,bike,full_service,84
16641,5,bike,wash,20
14998,111,bike,wash,35
7305,17,bike,repair,17
19782,80,car,full_service,9
13721,101,car,full_service,51
7995,109,car,full_service,43
13427,29,bike,repair,22
14782,121,car,repair,24
24683,148,car,repair,6
21566,61,car,wash,44
27287,137,bike,repair,34
3230,119,car,wash,14
7511,106,bike,wash,68
17512,140,bike,wash,46
10461,75,car,wash,79
21056,8,car,repair,57
27177,38,bike,repair,57
5765,23,bike,full_service,44
21354,124,bike,full_service,20
24929,117,car,wash,52
29820,33,bike,full_service,65
14272,60,bike,full_service,85
6552,132,bike,full_service,42
1627,78,car,wash,48
12989,49,bike,full_service,19
14780,131,bike,repair,65
7589,50,bike,wash,11
3044,51,bike,repair,34
29128,121,bike,wash,40
14171,7,car,repair,15
19725,112,car,full_service,74
6884,44,bike,wash,33
28790,87,bike,repair,83
9185,27,bike,wash,10
1249,118,bike,repair,80
20309,106,bike,full_service,55
22427,26,bike,wash,84
18358,80,car,wash,42
26901,100,bike,repair,77
24576,61,bike,repair,26
10175,61,car,full_service,58
26464,25,car,repair,44
28513,120,car,repair,11
17260,23,car,repair,44
27693,38,bike,full_service,28
3672,123,car,full_service,45
8279,20,car,wash,55
24915,93,car,full_service,43
26902,114,bike,repair,87
9662,120,bike,wash,47
2987,12,bike,full_service,73
17474,130,car,full_service,63
26105,18,bike,repair,29
13948,141,car,repair,29
21443,80,car,full_service,77
14026,122,car,wash,28
3773,67,car,repair,66
14159,18,bike,full_service,47
10878,63,bike,full_service,63
25767,100,bike,repair,58
11178,65,bike,wash,83
29199,65,car,wash,30
24793,74,car,wash,58
11377,44,car,repair,65
21824,86,car,repair,79
8347,66,car,repair,83
2008,2,bike,wash,48
4783,23,bike,wash,13
24030,87,car,repair,46
5298,16,car,repair,33
5668,39,bike,repair,83
21671,5,bike,wash,85
3052,148,car,full_service,84
23393,118,bike,full_service,62
28884,119,bike,wash,67
2716,34,car,repair,53
1310,112,car,repair,15
15391,28,bike,repair,58
21922,6,bike,repair,34
2260,52,car,wash,70
14157,22,bike,full_service,69
21316,96,bike,full_service,62
12460,135,bike,wash,61
17968,75,car,repair,41
28375,9,bike,full_service,58
25000,116,bike,wash,77
25935,23,car,repair,73
15011,38,car,full_service,28
3866,65,bike,wash,67
15365,5,car,full_service,55
6898,20,car,full_service,19
19395,72,bike,wash,51
7251,73,car,wash,77
5939,35,bike,full_service,50
5006,130,bike,full_service,34
2625,43,car,wash,83
11956,90,bike,repair,24
18274,59,bike,repair,61
7078,92,bike,repair,53
24420,82,bike,repair,60
9923,82,bike,wash,60
4961,76,car,repair,29
19888,25,car,full_service,13
9806,20,bike,repair,26
21190,119,bike,wash,81
23484,129,car,repair,41
19103,107,bike,repair,32
14558,26,bike,wash,18
7686,70,bike,repair,34
2587,147,car,wash,43
24384,49,bike,repair,61
10803,94,car,wash,9
18280,22,bike,repair,16
22942,140,bike,full_service,39
25853,80,car,full_service,45
22031,131,car,wash,67
27212,141,bike,wash,46
11350,19,bike,wash,69
19816,123,bike,full_service,69
21288,12,car,wash,47
12454,2,bike,repair,64
16849,130,car,wash,24
7837,128,bike,wash,67
2449,89,bike,repair,28
21884,34,bike,repair,79
6454,13,bike,full_service,76
10424,140,bike,repair,39
5117,49,bike,repair,45
9869,77,bike,wash,20
11850,2,car,full_service,84
19412,39,bike,repair,10
15343,50,bike,full_service,24
7845,0,bike,repair,60
21142,103,bike,full_service,79
23288,134,car,repair,12
5624,116,car,wash,88
27613,115,bike,full_service,10
28225,51,bike,full_service,12
9848,119,car,repair,66
17549,138,car,full_service,18
14136,141,car,repair,7
21975,85,bike,full_service,6
1589,45,car,full_service,26
21908,75,car,wash,89
20205,9,bike,wash,74
29834,60,bike,full_service,75
7509,17,bike,wash,10
8693,85,car,full_service,54
10454,136,car,repair,48
17455,144,car,full_service,12
12708,127,car,full_service,28
13942,103,bike,wash,31
20964,140,car,wash,57
25346,100,bike,repair,55
17652,5,car,repair,32
10968,84,car,repair,63
3462,50,car,full_service,73
10460,35,bike,repair,87
2015,70,car,repair,77
28298,99,bike,wash,29
10275,24,bike,wash,48
29677,138,bike,repair,51
14269,43,bike,repair,17
25368,13,car,full_service,57
1406,28,car,full_service,57
8384,73,bike,wash,41
23433,49,bike,repair,67
23553,4,car,repair,70
25366,109,car,repair,44
12268,121,bike,repair,82
18369,87,car,repair,65
12795,56,car,full_service,10
5485,25,car,full_service,29
9901,5,bike,repair,50
3618,143,bike,full_service,35
23673,59,bike,full_service,84
10603,99,bike,repair,67
7928,11,bike,full_service,72
6368,74,car,repair,43
5621,2,car,full_service,84
27061,62,car,repair,40
28526,133,bike,repair,11
15719,18,car,full_service,89
12126,17,bike,full_service,70
8566,79,bike,wash,59
13306,72,bike,repair,76
22054,130,bike,repair,46
25042,125,bike,repair,31
16086,71,bike,repair,6
18387,37,car,full_service,74
28042,67,bike,full_service,8
24888,79,car,wash,25
19850,41,bike,repair,5
27514,63,car,wash,42
19323,77,bike,wash,64
19019,126,bike,wash,80
10890,104,car,wash,18
9095,75,bike,wash,83
23649,131,bike,full_service,86
13719,129,car,full_service,21
11283,121,car,wash,77
19279,43,bike,full_service,51
15231,101,car,full_service,86
23908,61,car,wash,60
29816,0,bike,full_service,57
28974,16,car,full_service,22
15698,15,bike,repair,73
18457,8,car,wash,52
6184,58,bike,repair,13
3402,118,bike,repair,58
5895,136,bike,wash,39
24715,139,car,repair,50
12404,118,bike,repair,5
29613,40,car,full_service,45
16161,142,bike,repair,77
10343,65,bike,wash,36
11637,74,bike,full_service,88
2956,10,car,full_service,81
8023,7,bike,full_service,44
15062,133,bike,wash,15
15333,147,car,wash,66
4907,98,bike,wash,50
1807,71,bike,repair,52
25762,112,car,repair,47
15031,106,car,full_service,55
5827,33,car,full_service,65
14699,56,bike,wash,46
5524,116,car,wash,30
16193,119,bike,repair,15
26883,146,bike,repair,29
17223,70,car,wash,44
19668,39,car,wash,29
6313,141,bike,repair,88
14598,102,car,full_service,79
14058,123,car,full_service,78
18141,122,bike,repair,56
29807,99,car,repair,7
5887,136,car,full_service,43
4854,57,car,repair,39
13458,147,bike,full_service,44
27782,108,car,full_service,89
15536,120,car,repair,26
4558,91,bike,wash,66
10772,49,bike,wash,23
18345,147,bike,wash,18
21231,104,bike,wash,54
24110,116,car,wash,66
4575,26,bike,wash,47
26451,31,bike,wash,59
3418,0,car,repair,44
5198,16,bike,repair,16
2001,136,bike,wash,69
22628,83,car,repair,38
28960,44,bike,full_service,87
8119,65,bike,wash,27
21450,31,car,full_service,75
20229,44,car,repair,11
10673,8,car,wash,69
28877,29,car,full_service,22
26233,83,car,repair,12
6316,59,car,wash,46
17244,0,car,wash,5
28356,4,car,full_service,83
17806,62,car,full_service,19
24099,64,car,full_service,32
12873,77,car,repair,40
5266,131,car,full_service,50
8549,113,bike,full_service,81
23700,24,car,full_service,25
20094,134,car,wash,53
26028,140,car,full_service,43
11589,42,car,full_service,42
25453,56,car,repair,13
27551,141,bike,repair,24
2657,71,bike,full_service,88
19925,26,bike,repair,12
7763,127,bike,repair,18
20459,105,car,repair,66
4164,70,bike,wash,88
28542,66,bike,full_service,39
19437,89,car,full_service,59
9479,3,bike,full_service,49
6737,105,bike,repair,25
20601,78,car,repair,57
29430,95,car,repair,58
18831,92,bike,wash,47
7009,73,car,repair,10
17991,125,bike,wash,59
5552,15,car,full_service,48
19148,146,bike,repair,72
10417,115,bike,wash,8
26811,17,bike,wash,67
10221,15,car,repair,62
3671,129,car,wash,58
7519,55,bike,repair,85
4962,78,car,wash,42
13734,102,car,full_service,64
14122,27,bike,full_service,56
20561,4,car,full_service,33
4722,105,car,repair,44
5906,21,bike,full_service,75
8263,116,bike,full_service,12
14699,99,car,full_service,39
22438,12,car,repair,86
27051,64,car,wash,20
12088,143,bike,repair,22
1808,85,car,repair,63
10170,63,car,full_service,38
17260,31,car,wash,8
28039,79,car,full_service,73
18109,50,car,full_service,82
11693,78,car,repair,69
28938,105,bike,repair,65
8701,62,bike,repair,50
